Periodo,Producao_Megalitros
1956 Q1,274.0
1956 Q2,221.4
1956 Q3,220.1
1956 Q4,319.6
1957 Q1,278.0
1957 Q2,230.4
1957 Q3,237.3
1957 Q4,323.2
1958 Q1,285.7
1958 Q2,246.2
1958 Q3,230.5
1958 Q4,322.8
1959 Q1,300.8
1959 Q2,235.8
1959 Q3,229.6
1959 Q4,331.2
1960 Q1,299.8
1960 Q2,262.7
1960 Q3,245.1
1960 Q4,333.3
1961 Q1,328.5
1961 Q2,267.2
1961 Q3,261.7
1961 Q4,341.9
1962 Q1,321.0
1962 Q2,278.4
1962 Q3,260.4
1962 Q4,364.7
1963 Q1,328.9
1963 Q2,283.4
1963 Q3,273.0
1963 Q4,384.6
1964 Q1,341.7
1964 Q2,285.3
1964 Q3,292.3
1964 Q4,367.9
1965 Q1,351.3
1965 Q2,285.9
1965 Q3,282.8
1965 Q4,386.9
1966 Q1,363.1
1966 Q2,310.4
1966 Q3,300.0
1966 Q4,390.3
1967 Q1,352.7
1967 Q2,310.5
1967 Q3,304.4
1967 Q4,408.3
1968 Q1,374.3
1968 Q2,309.2
1968 Q3,317.6
1968 Q4,403.6
1969 Q1,373.0
1969 Q2,334.9
1969 Q3,329.9
1969 Q4,420.8
1970 Q1,378.2
1970 Q2,334.0
1970 Q3,330.7
1970 Q4,427.5
1971 Q1,387.4
1971 Q2,341.2
1971 Q3,325.4
1971 Q4,416.2
1972 Q1,403.7
1972 Q2,359.5
1972 Q3,339.6
1972 Q4,439.6
1973 Q1,405.9
1973 Q2,349.3
1973 Q3,348.7
1973 Q4,449.5
1974 Q1,408.2
1974 Q2,372.4
1974 Q3,330.2
1974 Q4,449.1
1975 Q1,414.5
1975 Q2,362.7
1975 Q3,357.1
1975 Q4,431.7
1976 Q1,417.0
1976 Q2,372.9
1976 Q3,373.0
1976 Q4,448.2
1977 Q1,417.1
1977 Q2,370.7
1977 Q3,373.2
1977 Q4,459.6
1978 Q1,423.8
1978 Q2,383.2
1978 Q3,371.0
1978 Q4,469.0
1979 Q1,426.7
1979 Q2,380.7
1979 Q3,371.2
1979 Q4,453.6
1980 Q1,438.6
1980 Q2,389.3
1980 Q3,378.2
1980 Q4,467.2
1981 Q1,428.7
1981 Q2,387.5
1981 Q3,379.0
1981 Q4,466.2
1982 Q1,442.2
1982 Q2,397.5
1982 Q3,400.2
1982 Q4,477.3
1983 Q1,448.7
1983 Q2,396.9
1983 Q3,372.8
1983 Q4,478.7
1984 Q1,450.1
1984 Q2,420.1
1984 Q3,389.5
1984 Q4,484.1
1985 Q1,452.1
1985 Q2,393.6
1985 Q3,402.8
1985 Q4,490.2
1986 Q1,461.1
1986 Q2,398.1
1986 Q3,407.2
1986 Q4,475.3
1987 Q1,461.7
1987 Q2,425.0
1987 Q3,390.1
1987 Q4,483.9
1988 Q1,459.7
1988 Q2,405.3
1988 Q3,387.4
1988 Q4,490.8
1989 Q1,452.1
1989 Q2,414.8
1989 Q3,394.0
1989 Q4,504.1
1990 Q1,455.8
1990 Q2,409.8
1990 Q3,409.2
1990 Q4,483.1
1991 Q1,465.0
1991 Q2,423.9
1991 Q3,390.8
1991 Q4,495.4
1992 Q1,466.2
1992 Q2,420.6
1992 Q3,394.6
1992 Q4,484.1
1993 Q1,468.9
1993 Q2,417.3
1993 Q3,407.0
1993 Q4,497.9
1994 Q1,459.7
1994 Q2,417.1
1994 Q3,407.6
1994 Q4,489.6
1995 Q1,480.2
1995 Q2,419.1
1995 Q3,395.8
1995 Q4,500.5
1996 Q1,457.4
1996 Q2,421.4
1996 Q3,414.3
1996 Q4,488.4
1997 Q1,472.5
1997 Q2,418.0
1997 Q3,411.1
1997 Q4,509.6
1998 Q1,462.2
1998 Q2,408.0
1998 Q3,396.7
1998 Q4,487.0
1999 Q1,462.7
1999 Q2,415.8
1999 Q3,405.0
1999 Q4,499.1
2000 Q1,462.3
2000 Q2,423.5
2000 Q3,399.4
2000 Q4,512.9
2001 Q1,465.8
2001 Q2,403.6
2001 Q3,391.4
2001 Q4,493.4
2002 Q1,457.4
2002 Q2,414.4
2002 Q3,402.0
2002 Q4,487.2
2003 Q1,450.5
2003 Q2,394.6
2003 Q3,392.6
2003 Q4,492.5
2004 Q1,456.8
2004 Q2,394.5
2004 Q3,395.3
2004 Q4,486.4
2005 Q1,445.6
2005 Q2,403.3
2005 Q3,391.8
2005 Q4,471.5
2006 Q1,452.9
2006 Q2,403.8
2006 Q3,397.2
2006 Q4,486.3
2007 Q1,436.1
2007 Q2,388.8
2007 Q3,389.6
2007 Q4,478.8
2008 Q1,448.0
2008 Q2,423.9
2008 Q3,386.8
2008 Q4,480.4
2009 Q1,448.1
2009 Q2,394.8
2009 Q3,376.1
2009 Q4,473.8
2010 Q1,430.6
2010 Q2,383.9
